Date,Close,MarketCap
,NPN.JO,
2021-03-04,72182.484375,55350522538464.94
2021-03-05,71901.3359375,55134934046862.84
2021-03-08,70049.0078125,53714543345168.53
2021-03-09,71166.0390625,54571098282486.66
2021-03-10,71188.828125,54588573249280.31
2021-03-11,72638.609375,55700285466569.44
2021-03-12,68987.78125,52900780210321.125
2021-03-15,67987.9453125,52134092251704.28
2021-03-16,68389.265625,52441830191102.06
2021-03-17,67659.796875,51882463513194.19
2021-03-18,67912.1484375,52075970164686.09
2021-03-19,69060.375,52956446097001.5
2021-03-23,69945.0390625,53634818676642.66
2021-03-24,69417.7265625,53230468193713.41
2021-03-25,68866.9921875,52808157494655.47
2021-03-26,70528.9453125,54082566026028.28
2021-03-29,70918.671875,54381413718349.69
2021-03-30,70798.90625,54289575788645.625
2021-03-31,70623.125,54154784306692.5
2021-04-01,74368.3515625,57026675584115.91
2021-04-06,73379.09375,56268099077346.375
2021-04-07,69689.078125,53438544306721.31
2021-04-08,70056.2109375,53720066800562.34
2021-04-09,69709.0625,53453868600536.25
2021-04-12,68256.3046875,52339873914152.72
2021-04-13,70077.40625,53736319657919.625
2021-04-14,70911.875,54376201781047.5
2021-04-15,70848.8828125,54327898504648.03
2021-04-16,70988.8671875,54435240450142.97
2021-04-19,69537.2890625,53322150364371.66
2021-04-20,68268.703125,52349381206679.81
2021-04-21,67762.15625,51960954090818.625
2021-04-22,67944.1484375,52100508205134.09
2021-04-23,68432.6640625,52475108710313.16
2021-04-26,67257.84375,51574240324461.375
2021-04-28,67419.421875,51698140654672.69
2021-04-29,66516.5703125,51005821649698.78
2021-04-30,66197.8203125,50761399762423.78
2021-05-03,66209.6171875,50770445768545.97
2021-05-04,64926.4140625,49786467950288.16
2021-05-05,64789.8359375,49681737964176.84
2021-05-06,65757.6953125,50423905854543.28
2021-05-07,66742.5390625,51179097597432.66
2021-05-10,64662.2578125,49583909301941.53
2021-05-11,63481.84375,48678751551597.375
2021-05-12,62467.8046875,47901172441238.72
2021-05-13,60401.52734375,46316722533809.86
2021-05-14,60318.13671875,46252777454771.3
2021-05-17,61320.3828125,47021313554374.03
2021-05-18,60275.74609375,46220271740056.734
2021-05-19,59665.63671875,45752431473761.3
2021-05-20,60820.86328125,46638275102424.7
2021-05-21,60318.53515625,46253082982130.39
2021-05-24,60140.56640625,46116614095068.516
2021-05-25,61037.421875,46804335212824.69
2021-05-26,60574.5,46449360347418.0
2021-05-27,59590.65625,45694935418292.625
2021-05-28,60705.87890625,46550103501029.766
2021-05-31,60989.23828125,46767387369938.2
2021-06-01,61534.953125,47185849023344.81
2021-06-02,61959.28515625,47511232665413.39
2021-06-03,60384.73046875,46303842458867.67
2021-06-04,60581.5,46454728043766.0
2021-06-07,59845.4140625,45890287215404.16
2021-06-08,59590.0546875,45694474131887.72
2021-06-09,58780.77734375,45073909125806.86
2021-06-10,58627.609375,44956457819165.44
2021-06-11,59298.3046875,45470756216240.72
2021-06-14,59790.625,45848274208162.5
2021-06-15,59673.23828125,45758260456514.2
2021-06-17,61336.77734375,47033885106590.86
2021-06-18,60993.8359375,46770912916032.84
2021-06-21,60790.46484375,46614965162145.61
2021-06-22,59190.71875,45388257838552.875
2021-06-23,58888.765625,45156716026220.06
2021-06-24,58793.57421875,45083721945693.05
2021-06-25,58307.45703125,44710960595401.08
2021-06-28,59322.90234375,45489618037615.36
2021-06-29,60716.87890625,46558538452433.766
2021-06-30,59954.39453125,45973854938848.83
2021-07-01,59210.7109375,45403588123100.34
2021-07-02,59182.32421875,45381820796448.05
2021-07-05,55591.28125,42628159620895.125
2021-07-06,56200.18359375,43095074319014.484
2021-07-07,57262.6171875,43909763022037.97
2021-07-08,54991.37890625,42168146246651.766
2021-07-09,54700.42578125,41945039385722.95
2021-07-12,55590.8828125,42627854093536.03
2021-07-13,56378.55859375,43231854724167.984
2021-07-14,57700.34765625,44245420770397.64
2021-07-15,58730.79296875,45035580419071.92
2021-07-16,59019.9453125,45257306416152.28
2021-07-19,58251.6640625,44668177779029.16
2021-07-20,58090.88671875,44544891498902.3
2021-07-21,59106.7265625,45323851473109.41
2021-07-22,60217.16015625,46175347236804.89
2021-07-23,59201.3125,45396381271865.25
2021-07-26,54951.578125,42137626459771.31
2021-07-27,50924.4140625,39049541626760.16
2021-07-28,54940.18359375,42128888976374.484
2021-07-29,57181.63671875,43847666083985.3
2021-07-30,56431.1484375,43272181340202.09
2021-08-02,55931.2265625,42888834365527.41
2021-08-03,52030.234375,39897499862895.94
2021-08-04,53491.80859375,41018255090940.984
2021-08-05,52740.53125,40442165283172.125
2021-08-06,53495.00390625,41020705300546.266
2021-08-10,59190.71875,45388257838552.875
2021-08-11,56921.0703125,43647860177236.78
2021-08-12,56713.90625,43489003922705.625
2021-08-13,56134.8046875,43044940873826.72
2021-08-16,51991.84375,39868061403237.375
2021-08-17,47789.30078125,36645493610998.45
2021-08-18,49755.59375,38153274123492.375
2021-08-19,47586.734375,36490162902561.94
2021-08-20,48004.07421875,36810184839015.05
2021-08-23,45810.21484375,35127903273984.61
2021-08-24,47452.55859375,36387275066703.984
2021-08-25,48831.94140625,37445004793154.016
2021-08-26,48122.0546875,36900653886335.72
2021-08-27,48038.07421875,36836256506991.05
2021-08-30,46592.89453125,35728072831162.83
2021-08-31,49592.2265625,38028001915531.41
2021-09-01,51791.87890625,39714725608733.766
2021-09-02,51891.859375,39791392008302.44
2021-09-03,51391.9453125,39408051024360.28
2021-09-06,52744.53125,40445232538228.125
2021-09-07,53684.98046875,41166381943508.67
2021-09-08,52701.53515625,40412262541742.39
2021-09-09,48579.58203125,37251492150929.58
2021-09-10,47803.1015625,36656076240014.91
2021-09-13,47356.57421875,36313672926825.05
2021-09-14,47595.93359375,36497216990117.484
2021-09-15,46916.64453125,35976328787257.83
2021-09-16,47214.796875,36204956108214.19
2021-09-17,47992.47265625,36801288601206.14
2021-09-20,46466.9140625,35631469273730.16
2021-09-21,47972.47265625,36785952325926.14
2021-09-22,48539.38671875,37220669832056.3
2021-09-23,49588.625,38025240187834.5
2021-09-27,49712.20703125,38120004590380.08
2021-09-28,50212.125,38503348569688.5
2021-09-29,51291.953125,39331375638692.81
2021-09-30,49844.18359375,38221206035030.484
2021-10-01,49351.65625,37843529288696.625
2021-10-04,49351.45703125,37843376525017.08
2021-10-05,50164.328125,38466697268062.31
2021-10-06,49432.4453125,37905479453802.28
2021-10-07,51991.84375,39868061403237.375
2021-10-08,51094.59375,39180037753488.375
2021-10-11,51366.34765625,39388422389221.64
2021-10-12,50212.125,38503348569688.5
2021-10-13,50910.21484375,39038653470384.61
2021-10-14,51088.19140625,39175128348179.016
2021-10-15,51391.546875,39407745497001.19
2021-10-18,51011.99609375,39116700733801.734
2021-10-19,52691.734375,40404747167781.94
2021-10-20,53491.4140625,41017952558948.16
2021-10-21,53286.640625,40860929468571.56
2021-10-22,53291.640625,40864763537391.56
2021-10-25,51866.4609375,39771916136843.34
2021-10-26,53038.8828125,40670945367808.03
2021-10-27,52370.1875,40158180598260.75
2021-10-28,52416.77734375,40193906331710.86
2021-10-29,51794.6796875,39716873286346.22
2021-11-02,52105.4296875,39955160663509.22
2021-11-03,53843.16015625,41287676305068.89
2021-11-04,52578.15234375,40317650902876.36
2021-11-05,50909.21484375,39037886656620.61
2021-11-08,50392.09765625,38641354079644.64
2021-11-09,51019.59765625,39122529716554.64
2021-11-10,50954.8125,39072851567039.25
2021-11-11,50126.140625,38437414567449.56
2021-11-12,52448.375,40218135849433.5
2021-11-15,52991.69140625,40634758347953.016
2021-11-16,55491.296875,42551490225960.19
2021-11-17,55035.96484375,42202335357207.61
2021-11-18,54318.28125,41652005699323.125
2021-11-19,54311.48046875,41646790766654.67
2021-11-22,53050.8828125,40680147132976.03
2021-11-23,51316.75,39350390223747.0
2021-11-24,50532.07421875,38748690034407.05
2021-11-25,50072.75,38396473901331.0
2021-11-26,50255.1171875,38536315570807.97
2021-11-29,49222.08203125,37744169994299.58
2021-11-30,49157.09375,37694336085738.375
2021-12-01,49381.1875,37866174257664.75
2021-12-02,49533.56640625,37983020500320.516
2021-12-03,49134.015625,37676639461841.06
2021-12-06,49233.60546875,37753006324783.17
2021-12-07,50834.796875,38980821933894.19
2021-12-08,50522.8359375,38741605993188.84
2021-12-09,49983.91015625,38328350286351.89
2021-12-10,50384.2578125,38635342379549.53
2021-12-13,50267.2734375,38545637150626.59
2021-12-14,50085.890625,38406550313448.56
2021-12-15,49393.5859375,37875681550191.84
2021-12-17,47288.25390625,36261283970839.266
2021-12-20,47493.83203125,36418924106666.58
2021-12-21,47194.87109375,36189676744893.234
2021-12-22,47673.203125,36556468330217.81
2021-12-23,48194.34375,36956086134447.375
2021-12-24,48895.65234375,37493859216946.36
2021-12-28,48511.49609375,37199282916919.734
2021-12-29,49103.2265625,37653029984935.41
2021-12-30,48731.2734375,37367811209122.59
2021-12-31,49433.578125,37906348110019.31
2022-01-03,50223.875,38512358631415.5
2022-01-04,51443.31640625,39447443086119.516
2022-01-05,49665.3515625,38084075172023.91
2022-01-06,47899.578125,36730055796043.31
2022-01-07,47774.59765625,36634219052374.64
2022-01-10,47476.63671875,36405738504365.3
2022-01-11,49033.234375,37599359012187.94
2022-01-12,53593.0390625,41095880007714.66
2022-01-13,52872.53125,40543384700020.125
2022-01-14,52121.828125,39967735211092.31
2022-01-17,52367.59765625,40156194670426.64
2022-01-18,50566.4375,38775040271445.75
2022-01-19,50425.25390625,38666778748507.266
2022-01-20,52985.515625,40630022673887.06
2022-01-21,51433.515625,39439927712159.06
2022-01-24,50079.89453125,38401952426230.83
2022-01-25,48193.7421875,36955624848042.47
2022-01-26,48593.69140625,37262311413881.016
2022-01-27,46914.7109375,35974846080956.34
2022-01-28,46947.10546875,35999686653397.17
2022-01-31,49234.8046875,37753925902226.72
2022-02-01,50173.6796875,38473868174902.22
2022-02-02,49593.5625,38029026330794.25
2022-02-03,48949.2421875,37534952646744.47
2022-02-04,49601.15234375,38034846327448.36
2022-02-07,49515.56640625,37969217852568.516
2022-02-08,48926.24609375,37517318925538.734
2022-02-09,49993.51171875,38335712896632.8
2022-02-10,48698.67578125,37342814877635.95
2022-02-11,47949.16796875,36768081970785.42
2022-02-14,45737.859375,35072420104646.438
2022-02-15,45621.87109375,34983478694121.234
2022-02-16,45355.30859375,34779074900154.984
2022-02-17,45291.31640625,34730004809991.516
2022-02-18,44733.18359375,34302020887226.484
2022-02-21,41139.0546875,31545993372323.72
2022-02-22,40988.4765625,31430527993516.406
2022-02-23,40163.78125,30798140276785.125
2022-02-24,37922.46875,29079471002359.875
2022-02-25,37691.1015625,28902055458446.906
2022-02-28,38564.1953125,29571555763209.28
2022-03-01,38775.5625,29733635031842.25
2022-03-02,37407.7421875,28684771589538.47
2022-03-03,36678.03515625,28125222194288.39
2022-03-04,32664.15625,25047324601946.625
2022-03-07,32687.75390625,25065419609557.266
2022-03-08,34179.359375,26209203213452.438
2022-03-09,36195.30078125,27755054831182.453
2022-03-10,35869.73828125,27505409025140.203
2022-03-11,35858.73828125,27496974073736.203
2022-03-14,31153.75390625,23889127295581.266
2022-03-15,29870.12109375,22904819987034.234
2022-03-16,36121.70703125,27698622130738.08
2022-03-17,35366.40625,27119447095715.625
2022-03-18,36895.60546875,28292058104551.17
2022-03-22,37301.35546875,28603192789294.17
2022-03-23,33775.61328125,25899605151603.703
2022-03-24,32466.98046875,24896127498956.67
2022-03-25,31970.24609375,24515224743154.734
2022-03-28,31996.443359375,24535313167015.15
2022-03-29,34157.55859375,26192486074323.984
2022-03-30,34082.97265625,26135292550848.14
2022-03-31,33278.078125,25518088345717.312
2022-04-01,34421.53515625,26394906935822.39
2022-04-04,35816.3515625,27464471354387.906
2022-04-05,35465.39453125,27195352672252.83
2022-04-06,33216.68359375,25471010174120.484
2022-04-07,32646.76171875,25033986235965.797
2022-04-08,31995.84375,24534853378293.375
2022-04-11,32815.734375,25163556794517.938
2022-04-12,31485.109375,24143215229795.438
2022-04-13,31239.54296875,23954911529506.92
2022-04-14,30459.642578125,23356873175426.695
2022-04-19,30572.62890625,23443512646976.766
2022-04-20,29894.517578125,22923527547046.195
2022-04-21,29480.76953125,22606259849874.33
2022-04-22,30141.685546875,23113059347503.617
2022-04-25,30053.697265625,23045588722370.414
2022-04-26,29996.103515625,23001425042150.04
2022-04-28,29784.533203125,22839190014471.258
2022-04-29,32150.82421875,24653694534882.047
2022-05-03,31933.453125,24487011388298.812
2022-05-04,30652.818359375,23505003023360.65
2022-05-05,29209.806640625,22398481775809.85
2022-05-06,29190.40625,22383605289251.625
2022-05-09,28540.09375,21884936713350.375
2022-05-10,29050.626953125,22276420600485.633
2022-05-11,31175.951171875,23906148464385.68
2022-05-12,31688.8828125,24299471506408.03
2022-05-13,32085.833984375,24603859128637.71
2022-05-16,31453.11328125,24118680184713.703
2022-05-17,33551.44140625,25727707072352.016
2022-05-18,31955.8515625,24504186818465.906
2022-05-19,31692.681640625,24302384500101.35
2022-05-20,32070.234375,24591897133455.938
2022-05-23,31308.1328125,24007507165765.03
2022-05-24,29199.806640625,22390813638169.85
2022-05-25,30533.6328125,23413609905547.03
2022-05-26,31999.64453125,24537767869669.83
2022-05-27,31723.28125,24325848701743.125
2022-05-30,33360.8671875,25581572138350.97
2022-05-31,34284.15234375,26289559904260.36
2022-06-01,33602.234375,25766655819903.938
2022-06-02,33065.90234375,25355389036267.36
2022-06-03,33192.0859375,25452148352745.844
2022-06-06,34481.12109375,26440598252838.234
2022-06-07,33489.25,25680017846037.0
2022-06-08,36474.0625,27968813153996.25
2022-06-09,36715.83203125,28154205358274.58
2022-06-10,35458.59375,27190137739584.375
2022-06-13,34802.6796875,26687173808458.22
2022-06-14,34795.48046875,26681653348430.67
2022-06-15,36266.6875,27809795149686.75
2022-06-17,35982.3203125,27591738476281.78
2022-06-20,36610.84765625,28073701894519.64
2022-06-21,36920.20703125,28310922921292.08
2022-06-22,36547.25,28024934336349.0
2022-06-23,36972.796875,28351249537326.188
2022-06-24,38250.4296875,29330955963289.22
2022-06-27,46967.69921875,36015478224349.55
2022-06-28,46057.015625,35317153510013.06
2022-06-29,46857.109375,35930676410003.44
2022-06-30,47348.25,36307289801313.0
2022-07-01,50343.45703125,38604055778905.08
2022-07-04,50972.78125,39086630251861.125
2022-07-05,53292.87890625,40865713068497.766
2022-07-06,52393.19140625,40175820310199.016
2022-07-07,57057.5859375,43752542237487.84
2022-07-08,53123.09765625,40735522469128.64
2022-07-11,51960.65234375,39844143403606.36
2022-07-12,52595.7734375,40331163000100.59
2022-07-13,50052.296875,38380790163564.19
2022-07-14,49993.51171875,38335712896632.8
2022-07-15,49075.42578125,37631711963222.95
2022-07-18,51169.15234375,39237210309400.36
2022-07-19,52882.53125,40551052837660.125
2022-07-20,53193.09375,40789196437242.375
2022-07-21,53245.08203125,40829061766871.58
2022-07-22,52193.21875,40022478524962.875
2022-07-25,50614.42578125,38811838346018.95
2022-07-26,51009.171875,39114535083991.69
2022-07-27,49450.578125,37919383944007.31
2022-07-28,49173.81640625,37707159248721.516
2022-07-29,47122.48046875,36134166617258.67
2022-08-01,47443.4375,36380280886473.75
2022-08-02,46523.7578125,35675057843627.53
2022-08-03,48448.7109375,37151138394932.34
2022-08-04,48533.09375,37215844297002.375
2022-08-05,48993.03515625,37568533697948.39
2022-08-08,49882.71484375,38250752327874.61
2022-08-10,48593.69140625,37262311413881.016
2022-08-11,50172.08203125,38472643070099.58
2022-08-12,48877.05078125,37479595282789.45
2022-08-15,49540.56640625,37988388196668.516
2022-08-16,51604.8984375,39571346411697.09
2022-08-17,51769.87890625,39697855705925.766
2022-08-18,50423.8515625,38665703412017.91
2022-08-19,49461.5703125,37927812904678.78
2022-08-22,48924.84375,37516243589049.375
2022-08-23,49373.5859375,37860345274911.84
2022-08-24,49162.6171875,37698571533637.97
2022-08-25,52246.01171875,40062960900042.8
2022-08-26,51031.171875,39131404986799.69
2022-08-29,50393.45703125,38642396467105.08
2022-08-30,48253.9296875,37001777451463.22
2022-08-31,48509.09375,37197440766666.375
2022-09-01,46835.9140625,35914423552646.16
2022-09-02,48504.09375,37193606697846.375
2022-09-05,47940.76953125,36761641933314.33
2022-09-06,47526.0234375,36443608920061.59
2022-09-07,47473.8359375,36403590826752.84
2022-09-08,48831.85546875,37444938895096.17
2022-09-09,49828.9296875,38209509129763.22
2022-09-12,50114.09375,38428176857886.375
2022-09-13,48875.8515625,37478675705345.91
2022-09-14,49393.5859375,37875681550191.84
2022-09-15,49316.59765625,37816645876462.64
2022-09-16,47307.25390625,36275853432355.266
2022-09-19,47377.2421875,36329521409736.47
2022-09-20,47833.78515625,36679604842031.39
2022-09-21,47493.83203125,36418924106666.58
2022-09-22,45372.7109375,34792419256868.344
2022-09-23,44932.5625,34454907376790.25
2022-09-26,47663.203125,36548800192577.81
2022-09-27,45877.0390625,35179145004690.656
2022-09-28,44948.36328125,34467023633334.703
2022-09-29,43948.2890625,33700152957375.656
2022-09-30,45259.92578125,34705934046680.953
2022-10-03,45414.10546875,34824161153185.17
2022-10-04,47045.890625,36075436470888.56
2022-10-05,46135.30078125,35377183645342.45
2022-10-06,47995.11328125,36803313468801.7
2022-10-07,47367.1796875,36321805346236.22
2022-10-10,45153.59765625,34624400176930.64
2022-10-11,44663.8515625,34248856131377.906
2022-10-12,44052.1171875,33779769792715.97
2022-10-13,42065.51953125,32256419366373.33
2022-10-14,42539.47265625,32619853146114.14
2022-10-17,43995.5234375,33736372926259.594
2022-10-18,44763.640625,34325375757999.562
2022-10-19,42408.6796875,32519559297442.22
2022-10-20,42748.84765625,32780404777951.64
